How Far I'll Go|Alessia Cara
Bad At Love|Halsey
Ruff Ryders' Anthem|DMX
Do Not Disturb|Drake
Show Yourself|Idina Menzel & Evan Rachel Wood
Flatliner|Cole Swindell
Word Crimes|"Weird Al" Yankovic
Get On Your Knees|Nicki Minaj Featuring Ariana Grande
El Mundo Es Mio|Bad Bunny
History|One Direction
Blessings|Big Sean Featuring Drake
Whats Poppin|Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Bought A Bad Bitch|Future & Lil Uzi Vert
Feel It Still|Portugal. The Man
Girls Talk Boys|5 Seconds Of Summer
Love Runs Out|OneRepublic
La Dificil|Bad Bunny
Imagine|Sawyer Fredericks
High Hopes|Panic! At The Disco
Violent Crimes|Kanye West
Call You Mine|The Chainsmokers & Bebe Rexha
Easy On Me|Adele
Argentina|Gunna
Don't Touch My Hair|Solange Featuring Sampha
The Hills|The Weeknd
18|One Direction
Demeanor|Pop Smoke Featuring Dua Lipa
Die Young|Roddy Ricch
Run It Up|Lil Tjay Featuring Offset & Moneybagg Yo
Smile|JAY-Z Featuring Gloria Carter
Queen Of Mean|Sarah Jeffery
365|Zedd & Katy Perry
Moolah|Young Greatness
I'm Sorry|Adam Wakefield
Finesse Out The Gang Way|Lil Durk Featuring Lil Baby
Lil Bit|Nelly & Florida Georgia Line
House Party|Sam Hunt
Champagne Night|Lady A
Gone Too Soon|Andrew Jannakos
21|Polo G
23|Sam Hunt
24|Money Man Featuring Lil Baby
Momma's House|Dustin Lynch
Why We Drink|Justin Moore
Sharing Locations|Meek Mill Featuring Lil Baby & Lil Durk
How About Now|Drake
Titanic|Juice WRLD
Lose It|Kane Brown
What Kind Of Man|Florence + The Machine
Don't Rush|Young T & Bugsey Featuring Headie One
Mac 10|Trippie Redd Featuring Lil Baby & Lil Duke
I Know|Post Malone
Toxic Waste|Trippie Redd
30|Pop Smoke Featuring Bizzy Banks
Merry Christmas|Ed Sheeran & Elton John
Better Now|Post Malone
33|Polo G
Lumberjack|Tyler, The Creator
Begin Again (Taylor's Version)|Taylor Swift
2U|David Guetta Featuring Justin Bieber
Make Me (Cry)|Noah Cyrus Featuring Labrinth
Cash Me Outside (#CashMeOutside)|DJ Suede The Remix God
Follow God|Kanye West
Classic|MKTO
The Greatest|Sia Featuring Kendrick Lamar
King Of My City|A Boogie Wit da Hoodie
Night Changes|One Direction
Moonlight|JAY-Z
Reply|A Boogie Wit da Hoodie Featuring Lil Uzi Vert
Only The Young|Taylor Swift
Come & Go|Juice WRLD x Marshmello
Cool For The Summer|Demi Lovato
Switch A N*gga Out|Summer Walker
Bacc At It Again|Yella Beezy, Gucci Mane & Quavo
How The Game Go|Rod Wave
How They Remember You|Rascal Flatts
Sanguine Paradise|Lil Uzi Vert
Black Beatles|Rae Sremmurd Featuring Gucci Mane
Beautiful Pain (Losin My Mind)|Polo G
Death Of A Bachelor|Panic! At The Disco
La Santa|Bad Bunny X Daddy Yankee
Greatest Love Story|LANCO
Tragic|The Kid LAROI Featuring YoungBoy Never Brok Again & Internet Money
Baddest|Yung Bleu, Chris Brown & 2 Chainz
Teenage Fever|Drake
Broken Promises|Summer Walker
Momma I Hit A Lick|2 Chainz Featuring Kendrick Lamar
Things A Man Oughta Know|Lainey Wilson
the.climb.back|J. Cole
Epidemic|Polo G
In My Feelings|Drake
Work From Home|Fifth Harmony Featuring Ty Dolla $ign
Nobody Else But You|Trey Songz
Promises|Calvin Harris & Sam Smith
U 2 Luv|Ne-Yo & Jeremih
Casper|TakeOff
Patty Cake|Kodak Black
Light Switch|Charlie Puth
Sparks|Hilary Duff
Bailando|Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
Make Up Sex|Machine Gun Kelly X blackbear
Hold Each Other|A Great Big World Featuring FUTURISTIC
Body Like A Back Road|Sam Hunt
If I Can't Have You|Shawn Mendes
SkyBox|Gunna
Games|Luke Bryan
LIGHTSKIN SH*T|DaBaby Featuring Future & jetsonmade
66|Lil Yachty Featuring Trippie Redd
Trophies|Young Money Featuring Drake
Alotta Cake|Gunna
Does To Me|Luke Combs Featuring Eric Church
Time|Lil Baby Featuring Meek Mill
Some Girls|Jameson Rodgers
She Knows This|Kid Cudi
DROP|DaBaby Featuring A Boogie Wit da Hoodie & London On Da Track
Fly As Me|Silk Sonic (Bruno Mars & Anderson .Paak)
Honest|The Chainsmokers
Electricity|Silk City x Dua Lipa
Digital Dash|Drake & Future
Boyfriend|Ariana Grande & Social House
Livin Wild|Gunna
China|Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin
Have Yourself A Merry Little Christmas|Sam Smith
Who's In Your Head|Jonas Brothers
All The Pretty Girls|Kenny Chesney
Love Me Harder|Ariana Grande & The Weeknd
Rich As Hell|YoungBoy Never Broke Again
Nikes|Frank Ocean
Confession|Florida Georgia Line
I Lived|OneRepublic
Mamacita|Black Eyed Peas, Ozuna + J.Rey Soul
Nothing New (Taylor's Version) (From The Vault)|Taylor Swift Featuring Phoebe Bridgers
Tonight Looks Good On You|Jason Aldean
Sigues Con El|Arcangel x Sech
Close Your Eyes|Parmalee
50 Shots|YoungBoy Never Broke Again
What Do I Know?|Ed Sheeran
Caramelo|Ozuna x Karol G x Myke Towers
Keep Them Kisses Comin'|Craig Campbell
Respect The Game|Meek Mill
Levels|Nick Jonas
I Want You To Know|Zedd Featuring Selena Gomez
Christmas Tree Farm (Old Timey Version)|Taylor Swift
Calm Down|Busta Rhymes Featuring Eminem
Megan's Piano|Megan Thee Stallion
Under Enemy Arms|Trippie Redd
Sneakin'|Drake Featuring 21 Savage
Yummy|Justin Bieber
Girls Chase Boys|Ingrid Michaelson
Secrets|Mary Lambert
Linus & Lucy|Vince Guaraldi Trio
Big Purr (Prrdd)|Coi Leray & Pooh Shiesty
Careless Whisper|Wham! Featuring George Michael
Flashlight|Jessie J
Computer Murderers|Lil Durk
Camelot|NLE Choppa
The Adventures Of Moon Man & Slim Shady|Kid Cudi & Eminem
Okay|Lil Baby & Lil Durk
A Boy Is A Gun|Tyler, The Creator
Purple Lamborghini|Skrillex & Rick Ross
Blue Tint|Drake
Ruin My Life|Zara Larsson
No More|Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage
Never Stop|Future
Middle Child|J. Cole
Stupid Love|Lady Gaga
My Head And My Heart|Ava Max
Cozy Little Christmas|Katy Perry
Setting The World On Fire|Kenny Chesney Featuring P!nk
Willow|Taylor Swift
Monsters|All Time Low Featuring Demi Lovato & blackbear
Losin Control|Russ
Na Na|Trey Songz
Secreto|Anuel AA & Karol G
Peru|Fireboy DML & Ed Sheeran
Holy Key|DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright
Mr. Misunderstood|Eric Church
Wants And Needs|Drake Featuring Lil Baby
Loving You Easy|Zac Brown Band
Humility|Gorillaz Featuring George Benson
Drunk Dialing...LODT|Summer Walker
Me Niego|Reik Featuring Ozuna & Wisin
Kings & Queens|Ava Max
My Oh My|Camila Cabello Featuring DaBaby
Bigger > You|2 Chainz, Drake & Quavo
Stretch You Out|Summer Walker Featuring A Boogie Wit da Hoodie
For The First Time|Darius Rucker
Delirious (Boneless)|Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink
The Christmas Song (Merry Christmas To You)|Nat King Cole
Am I Dreaming|Lil Nas X Featuring Miley Cyrus
'Tis The Damn Season|Taylor Swift
Thunder|Imagine Dragons
With Them|Young Thug
Happy Little Pill|Troye Sivan
Remote Control|Kanye West
Peta|Roddy Ricch Featuring Meek Mill
Come To Life|Kanye West
Everybody|Logic
I Don't Let Go|XXXTENTACION
Freaky Deaky|Tyga X Doja Cat
The Story Of O.J.|JAY-Z
4 Da Gang|Future
You're Mines Still|Yung Bleu Featuring Drake
Booker T|Bad Bunny
Carry On|XXXTENTACION
Hit Bout It|Lil Yachty Featuring Kodak Black
Supermarket Flowers|Ed Sheeran
Stuck On A Feeling|Prince Royce Featuring Snoop Dogg
Here And Now|Kenny Chesney
Rap Devil|Machine Gun Kelly
Price On My Head|NAV Featuring The Weeknd
De Una Vez|Selena Gomez
Lose Somebody|Kygo & OneRepublic
Tap|NAV Featuring Meek Mill
Element.|Kendrick Lamar
Jingle Bell Rock|Bobby Helms
Big, Big Plans|Chris Lane
Money Longer|Lil Uzi Vert
Saint-Tropez|Post Malone
Long Live|Florida Georgia Line
Cool Girl|Tove Lo
Only One|Kanye West Featuring Paul McCartney
Pain 1993|Drake Featuring Playboi Carti
Self Control|YoungBoy Never Broke Again
Chanel|Frank Ocean
These Walls|Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat
Last Memory|TakeOff
31 Days|Future
Jugg|Fetty Wap Featuring Monty
Life Changes|Thomas Rhett
0 To 100 / The Catch Up|Drake
Love Me Anyway|P!nk Featuring Chris Stapleton
7 Years|Lukas Graham
OOOUUU|Young M.A
BLOW|Ed Sheeran With Chris Stapleton & Bruno Mars
100 Grandkids|Mac Miller
Pick Up Your Feelings|Jazmine Sullivan
Bartier Cardi|Cardi B Featuring 21 Savage
Fly Away|5 Seconds Of Summer
Can't Have Everything|Drake
Final Warning|NLE Choppa
If I Was A Cowboy|Miranda Lambert
Hoax|Taylor Swift
Small Town Boy|Dustin Lynch
La Bicicleta|Carlos Vives & Shakira
The Ringer|Eminem
What If I Never Get Over You|Lady Antebellum
Solo de Mi|Bad Bunny
L.A.LOVE (la la)|Fergie
First Time|Kygo & Ellie Goulding
Middle Of A Memory|Cole Swindell
Sit Still, Look Pretty|Daya
Letter To Nipsey|Meek Mill Featuring Roddy Ricch
Cross Me|Ed Sheeran Featuring Chance The Rapper & PnB Rock
SoulFly|Rod Wave
Tequila Little Time|Jon Pardi
Glad You Exist|Dan + Shay
Trapped In The Sun|Future
Falling Down|Lil Peep & XXXTENTACION
Wish I Didn't Love You|Chloe Kohanski
South To West|Gunna
Uma Thurman|Fall Out Boy
Shake It|Kay Flock, Cardi B, Dougie B & Bory300
Midnight Sky|Miley Cyrus
444+222|Lil Uzi Vert
Change|J. Cole
Want You Back|5 Seconds Of Summer
It's A Vibe|2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko
On Me|Meek Mill Featuring Cardi B
Wake Me Up!|Avicii
Confessions Of A Dangerous Mind|Logic
Love Me Like You Do|Ellie Goulding
Silent Night|Carrie Underwood
Lock It Up|Eminem Featuring Anderson .Paak
Younger Now|Miley Cyrus
Get Me|Justin Bieber Featuring Kehlani
Iris|Sawyer Fredericks
Dope New Gospel|Lil Wayne Featuring Nivea
Gimmick|Gunna
Everything I Didn't Say|5 Seconds Of Summer
We Are|Justin Bieber Featuring Nas
July|Noah Cyrus & Leon Bridges
Me And My Broken Heart|Rixton
Thought I Knew You|Nicki Minaj Featuring The Weeknd
No Such Thing As A Broken Heart|Old Dominion
AA|Walker Hayes
Snowchild|The Weeknd
Wake Up In The Sky|Gucci Mane X Bruno Mars X Kodak Black
AM|Nio Garcia X J Balvin X Bad Bunny
Modern Day|Migos
AP|Pop Smoke
Bickenhead|Cardi B
Exchange|Bryson Tiller
Shootout @ My Crib|Lil Durk
1 Step Forward, 3 Steps Back|Olivia Rodrigo
Crushin' It|Brad Paisley
Otro Trago|Sech, Darell, Nicky Jam, Ozuna & Anuel AA
Swish Swish|Katy Perry Featuring Nicki Minaj
Level Up|Ciara
No Complaints|Metro Boomin Featuring Offset & Drake
$ave Dat Money|Lil Dicky Featuring Fetty Wap & Rich Homie Quan
I Mean It|G-Eazy Featuring Remo
Don't Start Now|Dua Lipa
Untitled 07 l Levitate|Kendrick Lamar
Thank U, Next|Ariana Grande
Business Is Business|Lil Baby & Gunna
DHL|Frank Ocean
Volando|Mora, Bad Bunny & Sech
Somebody Else Will|Justin Moore
Home Alone Tonight|Luke Bryan Featuring Karen Fairchild
Supalonely|BENEE Featuring Gus Dapperton
Get Ugly|Jason Derulo
The Dance|Lauren Duski
Girls Just Want To Have Fun|Madi Davis
Homesick|Kane Brown
Day Drinking|Little Big Town
Rock N Roll|Pusha T Featuring Kanye West & Kid Cudi
R.I.C.O.|Meek Mill Featuring Drake
Robbery|Juice WRLD
Opp Stoppa|YBN Nahmir Featuring 21 Savage
Til It's Gone|Kenny Chesney
Amnesia|5 Seconds Of Summer
I'll Show You|Justin Bieber
We Paid|Lil Baby & 42 Dugg
Nevada|YoungBoy Never Broke Again
Rather Be|Clean Bandit Featuring Jess Glynne
Jail Pt 2|Kanye West
Waste It On Me|Steve Aoki Featuring BTS
CC|Migos Featuring Gucci Mane
HandClap|Fitz And The Tantrums
Trip|Ella Mai
Provenza|Karol G
Rich Sex|Nicki Minaj Featuring Lil Wayne
My Way|Fetty Wap Featuring Monty
Brutal|Olivia Rodrigo
Jump|DaBaby Featuring YoungBoy Never Broke Again
Said Sum|Moneybagg Yo
Walk Me Home|P!nk
My Strange Addiction|Billie Eilish
Losing Sleep|Chris Young
Knowing You|Kenny Chesney
Beautiful Crazy|Luke Combs
Kevin's Heart|J. Cole
Love Me Now|John Legend
Hit Or Miss|Jacob Sartorius
Diamond Teeth Samurai|YoungBoy Never Broke Again
Took His Time|Lil Wayne
Could've Been|H.E.R. Featuring Bryson Tiller
Stir Fry|Migos
Yours If You Want It|Rascal Flatts
Dreamcatcher|Metro Boomin Featuring Swae Lee & Travis Scott
Mirrorball|Taylor Swift
Negative Energy|Trippie Redd Featuring Kodie Shane
Dirt On My Boots|Jon Pardi
Galway Girl|Ed Sheeran
I Get The Bag|Gucci Mane Featuring Migos
Box Of Churches|Pooh Shiesty Featuring 21 Savage
Monster Mash|Bobby "Boris" Pickett And The Crypt-Kickers
Memories|Maroon 5
Heartache Medication|Jon Pardi
No Promises|Cheat Codes Featuring Demi Lovato
Mood 4 Eva|Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare
Crazy Story 2.0|King Von Featuring Lil Durk
Government Official|Future
Never Forget You|Zara Larsson & MNEK
Real Shit|Juice WRLD x benny blanco
Forgiato|YoungBoy Never Broke Again
More Time|Pop Smoke
Taste|Tyga Featuring Offset
Everything Has Changed (Taylor's Version)|Taylor Swift Featuring Ed Sheeran
Is There Someone Else?|The Weeknd
Happiness Over Everything (H.O.E.)|Jhene Aiko Featuring Future & Miguel
Lord Above|Fat Joe & Dre Featuring Eminem & Mary J. Blige
Ignorantes|Bad Bunny & Sech
Only Wanna Be With You|Post Malone
7 Summers|Morgan Wallen
Lord Knows|Meek Mill
Blood All On It|Gucci Mane Featuring Key Glock & Young Dolph
What She Wants Tonight|Luke Bryan
Christmas Tree|V
In A Minute|Lil Baby
Make Me Want To|Jimmie Allen
Ball If I Want To|DaBaby
Cool Again|Kane Brown
Blindfold|Gunna Featuring Lil Baby
Desesperados|Rauw Alejandro & Chencho Corleone
Holy|Justin Bieber Featuring Chance The Rapper
Colombia, Mi Encanto|Carlos Vives
Solo|Frank Ocean
Blue Notes|Meek Mill
Home|One Direction
GNF (OKOKOK)|Polo G
Murder On My Mind|YNW Melly
Smoking & Thinking|Lil Durk
Fiel|Los Legendarios, Wisin & Jhay Cortez
Talk|Khalid
Jumpsuit|twenty one pilots
Sweet / I Thought You Wanted To Dance|Tyler, The Creator Featuring Brent Faiyaz & Fana Hues
Drifting|G-Eazy Featuring Chris Brown & Tory Lanez
Myron|Lil Uzi Vert
Pero Ya No|Bad Bunny
Liability|Lorde
Elastic Heart|Sia
DNA|BTS
Cover Me Up|Morgan Wallen
DND|Polo G
Having Our Way|Migos Featuring Drake
Honey, I'm Good.|Andy Grammer
Ex For A Reason|Summer Walker & JT
Fingers Crossed|Lauren Spencer-Smith
HP|Maluma
Hangin' On|Chris Young
Let Me See Ya Girl|Cole Swindell
Ella Quiere Beber|Anuel AA & Romeo Santos
The Other Girl|Kelsea Ballerini x Halsey
I Am Who They Say I Am|YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo
Only Human|Jonas Brothers
Like I Would|Zayn
Que Pretendes|J Balvin & Bad Bunny
Sippin' On Fire|Florida Georgia Line
I Got A Car|George Strait
Pride.|Kendrick Lamar
Wonder|Shawn Mendes
Down In The DM|Yo Gotti Featuring Nicki Minaj
When The Party's Over|Billie Eilish
Kiss Me More|Doja Cat Featuring SZA
Have Mercy|Chloe
Fake Smile|Ariana Grande
Back To The Streets|Saweetie Featuring Jhene Aiko
Every Breath You Take|Hannah Huston
Hand Me Downs|Mac Miller
iPHONE|DaBaby & Nicki Minaj
Ric Flair Drip|Offset & Metro Boomin
Met Him Last Night|Demi Lovato Featuring Ariana Grande
Wild Child|Kenny Chesney With Grace Potter
Black Magic|Little Mix
Stop Snitching|YG
Medical|Lil Baby & Lil Durk
Graveyard|Halsey
Not Enough|Juice WRLD
Gangstas|Pop Smoke
Portland|Drake Featuring Quavo & Travis Scott
That's What I Like|Bruno Mars
Astronaut In The Ocean|Masked Wolf
Outside Today|YoungBoy Never Broke Again
Don't Tell 'Em|Jeremih Featuring YG
My Tears Ricochet|Taylor Swift
Dollaz On My Head|Gunna Featuring Young Thug
NC-17|Travis Scott
Slide|Calvin Harris Featuring Frank Ocean & Migos
Weston Road Flows|Drake
Style|Taylor Swift
That's Facts|Lil Baby & Lil Durk
Tycoon|Future
Time Today|Moneybagg Yo
Guys My Age|Hey Violet
Life's A Mess|Juice WRLD X Halsey
Living|Dierks Bentley
Mixed Personalities|YNW Melly Featuring Kanye West
Nothing Without Love|Nate Ruess
Stripes Like Burberry|Future & Lil Uzi Vert
Somebody's Problem|Morgan Wallen
Chasing The Sun|Hilary Duff
Beachin'|Jake Owen
I'm Ready|AJR
Hideaway|Kiesza
Backin' It Up|Pardison Fontaine Featuring Cardi B
Hope|XXXTENTACION
What About Us|P!nk
Law|Yo Gotti Featuring E-40
Damn Strait|Scotty McCreery
Callaita|Bad Bunny & Tainy
Why Would I Stop?|Big Sean
ME!|Taylor Swift Featuring Brendon Urie
WAKA|6ix9ine Featuring A Boogie Wit da Hoodie
Hellcats & Trackhawks|Lil Durk
La La Land|Bryce Vine Featuring YG
Glow|Drake Featuring Kanye West
New Americana|Halsey
Boom Clap|Charli XCX
Motivation|Normani
Try|Colbie Caillat
Woman, Amen|Dierks Bentley
Jerika|Jake Paul & Erika Costell Featuring Uncle Kade
Run (Taylor's Version) (From The Vault)|Taylor Swift Featuring Ed Sheeran
Motley Crew|Post Malone
Love Galore|SZA Featuring Travis Scott
Danny Phantom|Trippie Redd Featuring XXXTENTACION
Beggin'|Maneskin
In The End|Linkin Park
Too Comfortable|Future
Smoke Break|Carrie Underwood
Beauty And The Beast|Ariana Grande & John Legend
The Feels|TWICE
Wet. (She Got That...)|YFN Lucci
Heatin Up|Lil Baby & Gunna
Cold Water|Major Lazer Featuring Justin Bieber & MO
The Very First Night (Taylor's Version) (From The Vault)|Taylor Swift
Tin Man|Miranda Lambert
Moth To A Flame|Swedish House Mafia & The Weeknd
God's Country|Blake Shelton
We Know The Way|Opetaia Foa'i & Lin-Manuel Miranda
All Around Me|Justin Bieber
Fetish|Selena Gomez Featuring Gucci Mane
Toosie Slide|Drake
Shell Shocked|Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik
Thinking 'Bout You|Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
Look At Her Now.|Selena Gomez
Neck & Wrist|Pusha T Featuring JAY-Z & Pharrell Williams
Come This Way|Lil Uzi Vert
From Florida With Love|Drake
ON|BTS
Breathin|Ariana Grande
Faucet Failure|Ski Mask The Slump God
Flexicution|Logic
Ready Set Roll|Chase Rice
No|Meghan Trainor
P2|Lil Uzi Vert
Change Your Life|Kehlani Featuring Jhene Aiko
Ilomilo|Billie Eilish
Listen Before I Go|Billie Eilish
I'm Tired|Labrinth & Zendaya
Partin Ways|Polo G
Go2DaMoon|Playboi Carti Featuring Kanye West
Whole Lotta Money|BIA Featuring Nicki Minaj
Hurt Feelings|Mac Miller
Dear Future Husband|Meghan Trainor
Believe What I Say|Kanye West
This Summer's Gonna Hurt...|Maroon 5
Heartache On The Dance Floor|Jon Pardi
Rude|MAGIC!
Cash Shit|Megan Thee Stallion Featuring DaBaby
Fearless (Taylor's Version)|Taylor Swift
Mr. Perfectly Fine (Taylor's Version) (From The Vault)|Taylor Swift
Make Me Like You|Gwen Stefani
Getting Older|Billie Eilish
Go Hard|Juice WRLD
Dicked Down In Dallas|Trey Lewis
Open Letter|Lil Wayne
Cross Roads|YoungBoy Never Broke Again
Hometown Girl|Josh Turner
Drunk (And I Don't Wanna Go Home)|Elle King & Miranda Lambert
Be A Light|Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban
I Feel It Coming|The Weeknd Featuring Daft Punk
Daywalker!|Machine Gun Kelly & CORPSE
Corazon|Maluma X Nego do Borel
His & Hers|Internet Money, Don Toliver & Lil Uzi Vert Featuring Gunna
Key To The Streets|YFN Lucci Featuring Migos & Trouble
XanaX Damage|Future
MIA|Bad Bunny Featuring Drake
Jumpman|Drake & Future
Pissed Me Off|Lil Durk
Tunnel Vision|Kodak Black
Love Me More|Trippie Redd
Broadway Girls|Lil Durk Featuring Morgan Wallen
Two|Lil Uzi Vert
Can't Stop Dancin'|Becky G
What's My Name|China Anne McClain, Thomas Doherty & Dylan Playfair
Long RD|YoungBoy Never Broke Again
Don't Go Yet|Camila Cabello
Me And Your Mama|Childish Gambino
Bad Liar|Selena Gomez
Mess|Lil Wayne
Grass Ain't Greener|Chris Brown
Ride For You|Meek Mill Featuring Kehlani
Smokin Out The Window|Silk Sonic (Bruno Mars & Anderson .Paak)
Drowning|A Boogie Wit da Hoodie Featuring Kodak Black
Nothing Without You|The Weeknd
Pills And Automobiles|Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black
One Beer|HARDY Featuring Lauren Alaina & Devin Dawson
Bloody Canvas|Polo G
Ville Mentality|J. Cole
Lifestyle|Rich Gang Featuring Young Thug & Rich Homie Quan
Premonition (Intro)|Eminem
Daisies|Katy Perry
Every Little Thing|Carly Pearce
Girl Crush|Little Big Town
INTRO|DaBaby
Hey Mama|David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack
Single Saturday Night|Cole Swindell
Lie|NF
Stressed Out|twenty one pilots
New Level|A$AP Ferg Featuring Future
Shut Up About Politics|John Rich Featuring The Five
Outta Time|Bryson Tiller Featuring Drake
Best Part Of Me|Ed Sheeran Featuring YEBBA
Warm It Up|Logic Featuring Young Sinatra
Olivia|One Direction
Dark Necessities|Red Hot Chili Peppers
Big Shot|Kendrick Lamar & Travis Scott
Break The Rules|Charli XCX
Don't Forget|Rod Wave
Ridin' Roads|Dustin Lynch
Up Down|Morgan Wallen Featuring Florida Georgia Line
Keep My Spirit Alive|Kanye West
Fire|KIDS SEE GHOSTS
Setting Fires|The Chainsmokers Featuring XYLO
Strawberry Peels|Lil Uzi Vert Featuring Young Thug & Gunna
Jugaste y Sufri|Eslabon Armado Featuring DannyLux
Deck The Halls|Nat King Cole
Thief In The Night|Rod Wave
We Back|Jason Aldean
Space Cadet|Metro Boomin Featuring Gunna
Lo Vas A Olvidar|Billie Eilish & ROSALIA
Lost In The Citadel|Lil Nas X
Fountains|Drake Featuring Tems
What About Me|Lil Wayne Featuring Sosamann
The Woo|Pop Smoke Featuring 50 Cent & Roddy Ricch
Burning Man|Dierks Bentley Featuring Brothers Osborne
First Love|Jennifer Lopez
Prices|Lil Uzi Vert
Filthy|Justin Timberlake
Good As Hell|Lizzo
Feelin' It|Scotty McCreery
Sad People|Kid Cudi
Fancy|Iggy Azalea Featuring Charli XCX
Jealousy, Jealousy|Olivia Rodrigo
Christmas Isn't Canceled (Just You)|Kelly Clarkson
Durag Activity|Baby Keem & Travis Scott
Reminds Me Of You|The Kid LAROI & Juice WRLD
I Don't Wanna Live Forever (Fifty Shades Darker)|Zayn / Taylor Swift
Goosebumps|Travis Scott
Hit The Quan|iLoveMemphis
Downtown|Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz
Come Back...Be Here (Taylor's Version)|Taylor Swift
Jocelyn Flores|XXXTENTACION
Get You|Daniel Caesar Featuring Kali Uchis
Big Energy|Latto
Need To Know|Doja Cat
Problem|Ariana Grande Featuring Iggy Azalea
Up|Cardi B
Fade|Kanye West
Girl Of My Dreams|Rod Wave
Livin It Up|Young Thug With Post Malone & A$AP Rocky
Most People Are Good|Luke Bryan
Be Real|Kid Ink Featuring DeJ Loaf
Is That Alright?|Lady Gaga
Sober Saturday Night|Chris Young Featuring Vince Gill
Almost Maybes|Jordan Davis
Yellow Hearts|Ant Saunders
Moves|Big Sean
Maldita Pobreza|Bad Bunny
Fighting Demons|Juice WRLD
Tuesday|I LOVE MAKONNEN Featuring Drake
Scoop|Lil Nas X Featuring Doja Cat
Put A Date On It|Yo Gotti Featuring Lil Baby
No Bystanders|Travis Scott
Franchise|Travis Scott Featuring Young Thug & M.I.A.
Draco|Future
Left Hand Free|alt-J
Trust|Justin Bieber
Dancing With A Stranger|Sam Smith & Normani
BoomTrap Protocol|Logic
MP5|Trippie Redd Featuring SoFaygo
Filter|BTS
The Business|Tiesto
Sorry|Justin Bieber
Something In The Way You Move|Ellie Goulding
Big Paper|DJ Khaled Featuring Cardi B
Yea Yea|Pop Smoke
Staring At The Sun|Post Malone Featuring SZA
Never Be Like You|Flume Featuring Kai
Ain't Your Mama|Jennifer Lopez
Somebody's Watching Me|Rockwell
Pure Souls|Kanye West
What's Wrong|Rod Wave
Wasted On You|Morgan Wallen
Privacy|Chris Brown
Darlin' Don't Go|Sundance Head
Don't Call Me Up|Mabel
Come Join The Murder|The White Buffalo & The Forest Rangers
Go Flex|Post Malone
Cry Your Heart Out|Adele
On My Soul|Meek Mill
Failure|Breaking Benjamin
Golden Child|Lil Durk
Back To Back|Drake
Sand In My Boots|Morgan Wallen
amari|J. Cole
Under The Mistletoe|Kelly Clarkson & Brett Eldredge
Make It Rain|Ed Sheeran
Hate The Other Side|Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI
Seven|Taylor Swift
Come Back To Earth|Mac Miller
Survival|Drake
Strangers By Nature|Adele
Yeah Boy|Kelsea Ballerini
Losses|Drake
Too Late|The Weeknd
Eastside|benny blanco, Halsey & Khalid
To The Moon!|JNR CHOI & Sam Tompkins
Death Ain't Easy|Lil Durk
Feel The Love|KIDS SEE GHOSTS
All Girls Are The Same|Juice WRLD
Richer|Rod Wave Featuring Polo G
Thailand|Roddy Ricch
Beg For It|Iggy Azalea Featuring M0
I Love You|Billie Eilish
Feeling Myself|Nicki Minaj Featuring Beyonce
The One|The Chainsmokers
Nice|The Carters
Sangria Wine|Pharrell Williams x Camila Cabello
Forever Winter (Taylor's Version) (From The Vault)|Taylor Swift
Heartbeat Song|Kelly Clarkson
Body In Motion|DJ Khaled Featuring Bryson Tiller, Lil Baby & Roddy Ricch
Wildest Dreams|Taylor Swift
Froze|Meek Mill Featuring Lil Uzi Vert & Nicki Minaj
When To Say When|Drake
Really Don't Care|Demi Lovato Featuring Cher Lloyd
Black Parade|Beyonce
Head Above Water|Avril Lavigne
I Love My Country|Florida Georgia Line
Alive|Sia
Errbody|Lil Baby
Red Roses|Lil Skies Featuring Landon Cube
Depression & Obsession|XXXTENTACION
La Droga|Bad Bunny
Diamonds Dancing|Drake & Future
Love Drought|Beyonce
Whiskey Glasses|Morgan Wallen
Best Life|Cardi B Featuring Chance The Rapper
I Know Somebody|LOCASH
Grace|Lil Baby & 42 Dugg
Come Thru|Summer Walker & Usher
Hittas|Lil Wayne
Clueless|Polo G Featuring Pop Smoke & Fivio Foreign
Emo Girl|Machine Gun Kelly & WILLOW
Skeletons|Travis Scott
Bad Vibes Forever|XXXTENTACION Featuring PnB Rock & Trippie Redd
The Search|NF
IDGAF|Dua Lipa
Candy|Doja Cat
